Issue key,Version,Priority
HIVE-22412,2.0.0,Major
HIVE-22196,2.0.0,Major
HIVE-21157,2.0.0,Minor
HIVE-21033,2.0.0,Major
HIVE-20345,2.0.0,Major
HIVE-18742,2.0.0,Major
HIVE-18735,2.0.0,Major
HIVE-18624,2.0.0,Major
HIVE-18250,2.0.0,Major
HIVE-18090,2.0.0,Major
HIVE-17368,2.0.0,Major
HIVE-17126,2.0.0,Major
HIVE-16769,2.0.0,Major
HIVE-16654,2.0.0,Major
HIVE-16507,2.0.0,Major
HIVE-16450,2.0.0,Major
HIVE-16385,2.0.0,Major
HIVE-15769,2.0.0,Major
HIVE-15766,2.0.0,Major
HIVE-15756,2.0.0,Critical
HIVE-15752,2.0.0,Major
HIVE-15517,2.0.0,Major
HIVE-15329,2.0.0,Major
HIVE-15311,2.0.0,Major
HIVE-15297,2.0.0,Major
HIVE-15247,2.0.0,Major
HIVE-15234,2.0.0,Major
HIVE-15160,2.0.0,Major
HIVE-15110,2.0.0,Major
HIVE-15096,2.0.0,Major
HIVE-15054,2.0.0,Major
HIVE-14742,2.0.0,Major
HIVE-14620,2.0.0,Major
HIVE-14393,2.0.0,Major
HIVE-14367,2.0.0,Major
HIVE-14342,2.0.0,Major
HIVE-14324,2.0.0,Critical
HIVE-14322,2.0.0,Major
HIVE-14296,2.0.0,Major
HIVE-14251,2.0.0,Major
HIVE-14241,2.0.0,Critical
HIVE-14236,2.0.0,Major
HIVE-14229,2.0.0,Major
HIVE-14210,2.0.0,Major
HIVE-14153,2.0.0,Major
HIVE-14133,2.0.0,Major
HIVE-14132,2.0.0,Major
HIVE-14038,2.0.0,Major
HIVE-14015,2.0.0,Major
HIVE-14006,2.0.0,Major
HIVE-13989,2.0.0,Major
HIVE-13932,2.0.0,Major
HIVE-13858,2.0.0,Blocker
HIVE-13844,2.0.0,Minor
HIVE-13837,2.0.0,Major
HIVE-13833,2.0.0,Minor
HIVE-13829,2.0.0,Major
HIVE-13813,2.0.0,Major
HIVE-13809,2.0.0,Major
HIVE-13768,2.0.0,Major
HIVE-13756,2.0.0,Major
HIVE-13754,2.0.0,Major
HIVE-13725,2.0.0,Critical
HIVE-13704,2.0.0,Critical
HIVE-13699,2.0.0,Minor
HIVE-13693,2.0.0,Major
HIVE-13676,2.0.0,Major
HIVE-13619,2.0.0,Major
HIVE-13618,2.0.0,Major
HIVE-13608,2.0.0,Major
HIVE-13602,2.0.0,Major
HIVE-13570,2.0.0,Major
HIVE-13561,2.0.0,Major
HIVE-13553,2.0.0,Minor
HIVE-13542,2.0.0,Major
HIVE-13523,2.0.0,Major
HIVE-13512,2.0.0,Minor
HIVE-13463,2.0.0,Major
HIVE-13456,2.0.0,Major
