Issue key,Version,
HIVE-22412,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java;serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/StandardConstantMapObjectInspector.java
HIVE-22196,3.1.2,
HIVE-21157,2.0.0,
HIVE-21033,2.0.0,cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java;cli/src/test/org/apache/hadoop/hive/cli/TestCliDriverMethods.java;common/src/java/org/apache/hadoop/hive/common/io/CachingPrintStream.java;common/src/java/org/apache/hadoop/hive/common/io/FetchConverter.java;common/src/java/org/apache/hadoop/hive/common/io/SessionStream.java;hcatalog/core/src/main/java/org/apache/hive/hcatalog/cli/HCatCli.java;hcatalog/hcatalog-pig-adapter/src/test/java/org/apache/hive/hcatalog/pig/TestHCatLoaderEncryption.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/history/TestHiveHistory.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestCLIAuthzSessionContext.java;itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java;ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java;ql/src/test/org/apache/hadoop/hive/ql/processors/TestSetProcessor.java;service/src/java/org/apache/hive/service/cli/operation/HiveCommandOperation.java;service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java
HIVE-20345,2.0.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
HIVE-18742,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java
HIVE-18735,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-18624,2.3.2,ql/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriver.java;ql/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriverIntervals.java
HIVE-18250,2.3.0,ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
HIVE-18090,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java
HIVE-17368,2.2.0,itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/MiniHiveKdc.java;itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/TestJdbcWithDBTokenStore.java;itests/hive-unit-hadoop2/src/test/java/org/apache/hadoop/hive/metastore/security/TestHadoopAuthBridge23.java;itests/util/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java;ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImplwithUGI.java;standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DBTokenStore.java;standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java;standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/MetastoreDelegationTokenManager.java
HIVE-17126,2.0.0,
HIVE-16769,2.0.0,
HIVE-16654,2.0.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;ql/src/java/org/apache/hadoop/hive/ql/exec/Operator.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/CountDistinctRewriteProc.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/Optimizer.java;ql/src/java/org/apache/hadoop/hive/ql/plan/GroupByDesc.java
HIVE-16507,2.3.0,common/src/java/org/apache/hadoop/hive/common/jsonexplain/DagJsonParser.java
HIVE-16450,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/Deadline.java;metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreUtils.java;metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/RetryingHMSHandler.java
HIVE-16385,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/StatsNoJobTask.java
