Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-28217,13577173,The default jdbc port does not take effect,wforget,wforget,Major,Resolved,Fixed,25/Apr/24 08:28,25/Sep/24 04:44,
Bug,HIVE-27649,13548552,Support ORDER BY clause in subqueries with set operators,nicolasrichard,nicolasrichard,Major,Closed,Fixed,24/Aug/23 18:40,29/Mar/24 17:49,
Bug,HIVE-27350,13536476,Unable to Create Table with 380+ Columns,karthik1289,karthik1289,Blocker,Resolved,Fixed,17/May/23 01:32,17/May/23 11:16,
Bug,HIVE-27315,13534916,DynamicPartitionPruningOptimization.generateSemiJoinOperatorPlan throws NPE when hive.tez.dynamic.semijoin.reduction=true,,fangbo_worker,Major,Resolved,Duplicate,04/May/23 06:22,07/Aug/23 10:55,
Bug,HIVE-27140,13528433,Set HADOOP_PROXY_USER cause  hiveMetaStoreClient close everytime,chenruotao,chenruotao,Major,Closed,Fixed,14/Mar/23 12:47,15/Aug/23 06:33,14/Mar/23 00:00
Bug,HIVE-26872,13514699,INSERT UNION with LATERAL  VIEW does not produce data,,fangbo_worker,Major,Resolved,Duplicate,19/Dec/22 08:34,05/Jan/23 04:56,
Bug,HIVE-26664,13489545,Method defaultValueString return wrong result in HiveConf class enum VarType,Eeeddieee,Eeeddieee,Minor,Resolved,Duplicate,23/Oct/22 14:58,23/Oct/22 15:03,23/Oct/22 00:00
Bug,HIVE-26663,13489543,Method defaultValueString return wrong result in HiveConf class enum VarType,,Eeeddieee,Minor,Resolved,Invalid,23/Oct/22 14:57,10/Nov/22 15:33,23/Oct/22 00:00
Bug,HIVE-26568,13483307,Upgrade Log4j2 to 2.18.0 due to CVEs,ngangam,ngangam,Major,Closed,Duplicate,27/Sep/22 02:57,05/Dec/22 00:20,
Bug,HIVE-26530,13480831,HS2 OOM-OperationManager.queryIdOperation does not properly clean up multiple queryIds,fcbai,fcbai,Major,Resolved,Fixed,09/Sep/22 09:29,10/Apr/23 03:31,16/Sep/22 00:00
Bug,HIVE-26232,13445361,AcidUtils getLogicalLength shouldn't be called for external tables,,gupta.nikhil0007,Minor,Resolved,Duplicate,17/May/22 08:40,17/May/22 08:48,
Bug,HIVE-26114,13437675,Fix jdbc connection hiveserver2 using dfs command with prefix space will cause exception,Zing,Zing,Major,Closed,Fixed,04/Apr/22 17:02,16/Nov/22 13:50,
Bug,HIVE-26036,13433679,NPE caused by getMTable() in ObjectStore,wechar,wechar,Minor,Closed,Fixed,14/Mar/22 15:57,17/Nov/22 08:48,
Bug,HIVE-25991,13431082,Backport HIVE-25522 to branch-3,szehon,szehon,Major,Resolved,Fixed,28/Feb/22 20:10,08/Mar/22 19:37,
Bug,HIVE-25912,13425620,Drop external table at root of s3 bucket throws NPE,fcbai,fcbai,Major,Closed,Fixed,30/Jan/22 07:37,17/Nov/22 08:48,14/Feb/22 00:00
Bug,HIVE-25876,13423402,Update log4j2 version to 2.17.1,,avs75,Blocker,Resolved,Duplicate,19/Jan/22 03:51,20/Feb/22 22:46,21/Jan/22 00:00
Bug,HIVE-25844,13420605,Exception deserialization error-s may cause beeline to terminate immediately,kgyrtkirk,kgyrtkirk,Major,Closed,Fixed,04/Jan/22 15:35,17/Nov/22 08:48,
Bug,HIVE-25839,13420500,Upgrade Log4j2 to 2.17.1 due to CVE-2021-44832,ghanko,weidong,Major,Closed,Fixed,04/Jan/22 03:28,01/Dec/22 09:15,
Bug,HIVE-25797,13416785,log4j2 has a critical RCE vulnerability CVE-2021-44228,,brahmareddy,Major,Resolved,Duplicate,11/Dec/21 14:44,11/Dec/21 15:00,
Bug,HIVE-25795,13416529,[CVE-2021-44228] Update log4j2 version to 2.15.0,jotamartos,gupta.nikhil0007,Critical,Closed,Fixed,10/Dec/21 10:51,17/Nov/22 08:47,
Bug,HIVE-25777,13415649,ACID: Pick the compactor transaction over insert dir,dkuzmenko,gopalv,Major,Resolved,Fixed,06/Dec/21 17:50,30/Aug/22 09:34,
Bug,HIVE-25662,13409149,"JDBC driver returns "" java.lang.IllegalArgumentException: Unrecognized type name: timestamp with local time zone('Europe/Madrid') in the table's introspection",,idominguez,Blocker,Resolved,Fixed,29/Oct/21 16:11,06/Dec/21 12:28,29/Oct/21 00:00
Bug,HIVE-25646,13408311,Thrift metastore URI reverse resolution could fail in some environments,prasanth_j,prasanth_j,Major,Closed,Fixed,25/Oct/21 21:25,17/Nov/22 08:48,
Bug,HIVE-25626,13407381,CBO fails when JDBC table specifies password via dbcp.password.uri,chiran54321,chiran54321,Major,Closed,Fixed,19/Oct/21 20:26,17/Nov/22 08:48,
Bug,HIVE-25600,13405461,Compaction job creates redundant base/delta folder within base/delta folder,gupta.nikhil0007,gupta.nikhil0007,Minor,Closed,Fixed,07/Oct/21 17:05,09/Apr/22 07:03,
Bug,HIVE-25577,13404074,unix_timestamp() is ignoring the time zone value,ashish-kumar-sharma,ashish-kumar-sharma,Minor,Closed,Fixed,29/Sep/21 13:29,17/Nov/22 08:47,
Bug,HIVE-25499,13399371,select unix_timestamp(dt) from table and select unix_timestamp(constant date)  are different,ashish-kumar-sharma,fsilent,Major,Resolved,Fixed,04/Sep/21 06:58,06/Sep/21 08:50,
Bug,HIVE-25458,13395667,unix_timestamp() with string input give wrong result,ashish-kumar-sharma,ashish-kumar-sharma,Minor,Closed,Fixed,17/Aug/21 11:20,21/Aug/23 10:00,
Bug,HIVE-25443,13394600,Arrow SerDe Cannot serialize/deserialize complex data types When there are more than 1024 values,srahman,srahman,Major,Closed,Fixed,11/Aug/21 09:28,17/Nov/22 08:48,
Bug,HIVE-25416,13393195,Hive metastore memory leak because datanucleus-api-jdo bug,Zing,shezhiming,Major,Closed,Fixed,03/Aug/21 05:32,16/Nov/22 13:50,
