File,Version,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
ql/src/java/org/apache/hadoop/hive/ql/parse/BaseSemanticAnalyzer.java,3.1.2,480,798,35,0,100,18,41,16,10,117,1,8,29
ql/src/java/org/apache/hadoop/hive/ql/parse/ExplainSemanticAnalyzer.java,3.1.2,28,33,10,0,43,8,23,108,36,176,3,0,5
ql/src/java/org/apache/hadoop/hive/ql/security/authorization/command/CommandAuthorizerV1.java,3.1.2,0,0,3,9,3,3,3,365,365,36,16,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DagUtils.java,3.1.2,376,185,36,0,80,21,42,14,17,85,1,13,30
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedPrimitiveColumnReader.java,3.1.2,150,63,6,0,23,5,12,190,59,127,1,0,5
ql/src/java/org/apache/hadoop/hive/ql/ddl/table/info/desc/DescTableOperation.java,3.1.2,0,0,24,0,24,13,13,52,52,74,1,3,3
service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpServlet.java,3.1.2,298,107,20,0,35,11,18,26,52,73,1,15,20
standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,3.1.2,836,113,97,59,147,45,50,7,7,66,1,9,12
service/src/java/org/apache/hive/service/cli/operation/HiveCommandOperation.java,3.1.2,28,36,7,5,25,6,14,185,54,56,2,0,4
service/src/test/org/apache/hive/service/cli/operation/TestCommandWithSpace.java,3.1.2,0,0,1,5,1,1,1,0,0,2,2,1,1
ql/src/java/org/apache/hadoop/hive/ql/io/arrow/ArrowColumnarBatchSerDe.java,3.1.2,25,55,8,0,13,5,8,21,37,91,3,0,1
ql/src/java/org/apache/hadoop/hive/ql/io/arrow/Deserializer.java,3.1.2,9,3,3,0,8,3,6,322,16,13,9,1,4
ql/src/test/org/apache/hadoop/hive/ql/io/arrow/TestArrowColumnarBatchSerDe.java,3.1.2,239,8,5,0,15,5,8,262,20,20,4,2,8
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorBytesCountDistinct.java,3.1.2,0,0,1,0,6,1,1,0,0,42,42,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorCountDistinct.java,3.1.2,0,0,2,0,8,1,1,166,166,42,42,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorDecimalCountDistinct.java,3.1.2,0,0,1,0,6,1,1,0,0,42,42,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorDoubleCountDistinct.java,3.1.2,0,0,1,0,6,1,1,0,0,42,42,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorLongCountDistinct.java,3.1.2,0,0,1,0,6,1,1,0,0,42,42,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorTimestampCountDistinct.java,3.1.2,0,0,1,0,6,1,1,0,0,42,42,1,1
ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java,3.1.2,342,337,44,0,159,23,43,14,8,87,2,9,65
ql/src/java/org/apache/hadoop/hive/ql/plan/VectorPTFDesc.java,3.1.2,160,42,10,0,15,5,7,47,70,140,14,2,3
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFCount.java,3.1.2,4,4,1,0,9,1,5,0,148,42,42,0,2
jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/dao/JdbcRecordIterator.java,3.1.2,33,3,3,0,9,3,6,139,112,134,1,1,3
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorLimitOperator.java,3.1.2,23,7,4,0,11,4,10,225,225,88,15,1,2
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezTotalOrderPartitioner.java,3.1.2,0,0,2,7,2,2,2,35,35,84,3,2,2
ql/src/test/org/apache/hadoop/hive/ql/exec/tez/TestTezTotalOrderPartitioner.java,3.1.2,0,0,2,7,2,2,2,35,35,84,3,2,2
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezTotalOrderPartitioner.java,3.1.2,0,0,2,7,2,2,2,35,35,84,3,2,2
ql/src/test/org/apache/hadoop/hive/ql/exec/tez/TestTezTotalOrderPartitioner.java,3.1.2,0,0,2,7,2,2,2,35,35,84,3,2,2
jdbc/src/java/org/apache/hive/jdbc/Utils.java,3.1.2,107,14,17,7,45,12,24,40,31,35,1,6,17
jdbc/src/test/org/apache/hive/jdbc/TestHiveConnection.java,3.1.2,0,0,1,0,1,1,1,0,0,3,3,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFUnixTimeStampString.java,3.1.2,26,15,3,0,8,3,5,351,156,304,26,0,0
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFToUnixTimeStamp.java,3.1.2,70,34,7,0,14,4,8,78,112,145,14,0,0
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFToUnixTimestamp.java,3.1.2,82,20,4,0,8,3,5,64,64,181,4,1,1
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,3.1.2,2697,2307,201,23,542,60,108,4,2,85,1,60,0
common/src/java/org/apache/hadoop/hive/common/type/Date.java,3.1.2,78,20,7,0,10,6,8,74,38,80,1,2,4
common/src/java/org/apache/hadoop/hive/common/type/Timestamp.java,3.1.2,85,38,7,0,10,7,9,136,114,62,1,2,4
itests/hive-unit/src/test/java/org/apache/hive/service/auth/saml/TestHttpSamlAuthentication.java,3.1.2,0,0,5,7,5,2,2,52,52,68,26,4,4
jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java,3.1.2,650,151,29,23,82,20,41,22,20,103,1,11,29
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFDateFormat.java,3.1.2,32,34,3,0,7,3,6,329,84,43,6,1,4
ql/src/java/org/apache/hadoop/hive/ql/util/DateTimeMath.java,3.1.2,0,0,3,0,10,3,7,329,107,43,6,0,3
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFDateFormat.java,3.1.2,62,6,5,0,10,5,9,39,44,27,1,0,0
hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/listener/DbNotificationListener.java,3.1.2,630,243,24,0,67,14,28,19,17,41,1,4,14
ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java,3.1.2,1598,221,33,0,64,20,38,16,18,81,1,7,17
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/DirectSqlUpdateStat.java,3.1.2,0,0,6,0,6,3,3,21,21,115,30,1,1
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HMSHandler.java,3.1.2,0,0,65,19,65,0,0,5,5,0,0,0,0
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java,3.1.2,441,208,29,0,92,18,22,28,20,91,1,14,16
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java,3.1.2,4194,2171,108,13,319,45,49,8,7,78,1,30,39
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/StatObjectConverter.java,3.1.2,241,19,5,0,23,3,5,148,148,197,30,3,4
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/cache/CachedStore.java,3.1.2,1562,870,47,25,116,23,27,15,14,95,1,14,17
standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/VerifyingObjectStore.java,3.1.2,11,10,6,0,16,4,5,140,147,156,14,0,1
shims/0.23/src/main/java/org/apache/hadoop/hive/shims/Hadoop23Shims.java,3.1.2,224,114,20,5,87,14,39,46,11,94,1,5,30
