File,Version,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/listener/DbNotificationListener.java,2.1.1,600,98,31,0,34,13,15,14,15,97,2,6,6
metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java,2.1.1,0,0,92,5,163,34,49,2,2,101,1,30,47
ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java,2.1.1,1340,550,90,5,111,29,36,3,4,118,1,30,36
ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/Operation2Privilege.java,2.1.1,109,22,24,0,33,13,20,14,23,120,4,5,6
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/HouseKeeperServiceBase.java,2.1.1,0,0,3,0,8,3,3,249,133,139,89,0,1
itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithMiniHS2.java,2.1.1,938,424,22,0,34,11,13,20,16,130,13,12,18
jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java,2.1.1,247,85,23,0,48,12,24,20,18,99,1,4,16
ql/src/java/org/apache/hadoop/hive/ql/parse/BaseSemanticAnalyzer.java,2.1.1,756,184,38,0,54,16,23,5,7,134,1,12,17
ql/src/java/org/apache/hadoop/hive/ql/parse/GenTezUtils.java,2.1.1,369,37,25,0,37,13,16,8,12,193,13,9,10
ql/src/java/org/apache/hadoop/hive/ql/parse/ProcessAnalyzeTable.java,2.1.1,52,101,10,5,15,8,11,30,39,205,1,4,4
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,2.1.1,3454,1630,191,17,299,41,56,1,2,98,1,0,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/Optimizer.java,2.1.1,20,12,16,0,36,7,17,28,23,128,21,1,8
ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMRProcContext.java,2.1.1,2,2,2,0,3,2,3,58,415,186,1,0,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMRTableScan1.java,2.1.1,29,86,8,5,13,6,9,49,58,223,1,1,1
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Worker.java,2.1.1,78,61,9,0,22,6,10,29,26,155,1,3,6
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/reloperators/HiveAggregate.java,2.1.1,35,16,8,0,12,5,7,91,91,150,1,1,2
itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/AbstractTestAuthorizationApiAuthorizer.java,2.1.1,20,8,9,0,10,6,7,25,38,131,2,2,2
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java,2.1.1,0,0,137,7,208,14,14,2,2,110,2,12,12
ql/src/java/org/apache/hadoop/hive/ql/optimizer/ColumnPrunerProcFactory.java,2.1.1,168,135,9,0,17,6,11,24,34,137,1,3,6
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorThread.java,2.1.1,26,11,5,0,10,5,7,63,78,227,1,2,3
itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestHiveMetaStoreAlterColumnPar.java,2.1.1,0,0,2,0,2,2,2,20,20,34,5,1,1
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java,2.1.1,0,0,33,0,44,8,8,10,10,94,4,6,6
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,2.1.1,1963,360,342,49,569,56,71,1,1,89,1,26,45
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,2.1.1,0,0,31,7,31,13,13,6,6,151,3,5,5
metastore/src/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java,2.1.1,0,0,23,0,34,13,20,16,19,110,14,7,8
hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/AppConfig.java,2.1.1,55,41,7,0,13,5,9,150,90,196,86,1,2
hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/Main.java,2.1.1,65,26,6,0,9,3,5,57,110,193,3,1,3
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/MapredLocalTask.java,2.1.1,44,28,19,0,30,11,19,22,22,128,14,0,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorMapOperator.java,2.1.1,204,86,16,0,19,7,8,14,23,251,108,5,6
itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestHiveMetaStore.java,2.1.1,0,0,18,7,29,12,22,14,17,144,14,4,10
metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClient.java,2.1.1,0,0,44,0,83,21,33,6,6,114,2,8,19
metastore/src/java/org/apache/hadoop/hive/metastore/IMetaStoreClient.java,2.1.1,0,0,28,0,55,13,24,14,12,110,7,0,1
ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java,2.1.1,402,38,14,0,21,9,14,28,34,141,1,5,6
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveJoinAddNotNullRule.java,2.1.1,18,26,2,0,7,2,4,160,80,186,1,0,2
hbase-handler/src/java/org/apache/hadoop/hive/hbase/HiveHBaseTableInputFormat.java,2.1.1,71,253,6,0,11,5,10,53,51,127,1,1,2
spark-client/src/main/java/org/apache/hive/spark/client/rpc/RpcConfiguration.java,2.1.1,43,4,5,0,6,4,7,130,239,96,29,1,1
